Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,FabricType,Decoration,PatternType,Recommendation,RatingCategory,PriceLevel,IsRecommended,Price_num
sexy,average,4.7,s,summer,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,low,4.4,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,animal,1,Very Good,1,Recommended,1
cute,high,4.3,m,spring,boat-neck,full,natural,polyester,terry,lace,solid,2,Very Good,4,Not Recommended,4
work,average,4.8,m,winter,turndowncollor,full,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.6,m,spring,o-neck,halfsleeves,natural,polyester,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,low,4.7,free,summer,v-neck,sleeveless,empire,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,high,4.9,xl,winter,v-neck,full,empire,cotton,chiffon,sequined,solid,1,Excellent,4,Recommended,4
sexy,low,4.7,free,winter,o-neck,sleeveless,natural,lycra,chiffon,hollowout,solid,1,Excellent,1,Recommended,1
cute,average,5.0,m,autumn,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
cute,low,4.7,free,spring,v-neck,sleeveless,natural,silk,worsted,lace,patchwork,2,Excellent,1,Not Recommended,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,chiffon,pockets,solid,1,Very Good,1,Recommended,1
casual,average,4.7,l,spring,o-neck,sleeveless,natural,chiffon,chiffon,sequined,solid,1,Excellent,2,Recommended,3
cute,average,4.7,m,spring,o-neck,full,natural,rayon,chiffon,beading,solid,2,Excellent,2,Not Recommended,3
casual,average,4.6,m,winter,v-neck,halfsleeves,natural,silk,chiffon,sashes,solid,2,Excellent,2,Not Recommended,3
casual,low,4.4,free,summer,o-neck,full,natural,cotton,chiffon,lace,solid,2,Very Good,1,Not Recommended,1
casual,low,5.0,m,autumn,o-neck,sleeveless,empire,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.7,free,winter,o-neck,short,natural,polyester,chiffon,cascading,solid,1,Excellent,2,Recommended,3
sexy,average,4.7,free,winter,slash-neck,sleeveless,natural,cotton,broadcloth,sequined,solid,2,Excellent,2,Not Recommended,3
casual,low,4.4,m,summer,o-neck,halfsleeves,empire,chiffon,chiffon,bow,solid,1,Very Good,1,Recommended,1
cute,average,4.7,l,summer,o-neck,sleeveless,empire,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,low,4.8,free,winter,bowneck,full,natural,polyester,chiffon,bow,solid,1,Excellent,1,Recommended,1
casual,average,5.0,l,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
cute,average,4.6,m,spring,o-neck,halfsleeves,natural,acrylic,chiffon,lace,solid,1,Excellent,2,Recommended,3
bohemian,low,4.6,free,summer,o-neck,sleeveless,natural,cotton,chiffon,none,solid,2,Excellent,1,Not Recommended,1
brief,average,4.7,m,winter,o-neck,halfsleeves,natural,acrylic,chiffon,lace,striped,1,Excellent,2,Recommended,3
casual,low,4.7,m,spring,o-neck,full,natural,polyester,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
sexy,low,4.3,free,summer,o-neck,full,empire,cotton,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,average,4.7,m,summer,v-neck,full,empire,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,average,4.6,l,winter,boat-neck,sleeveless,empire,silk,broadcloth,applique,print,2,Excellent,2,Not Recommended,3
casual,low,4.4,free,summer,v-neck,short,empire,cotton,corduroy,lace,solid,1,Very Good,1,Recommended,1
